Origin Controller	Original URL	HTTP Method	Source File Path	DMZ File Path	New URL	New Method	Data Origin	ControllerTasks	Mapping&BodyTasks	WrapperTasks	Migration Status	Commit Hash	Migrated Date	Notes
CreditController	credit/SetUnificationWalletData	POST	WebApiMagento/Controllers/CreditController.cs:524	WebApiMagento/Controllers/CreditController.cs:256	Unknown	Unknown	INTELISIS	0.00%	0.00%	0.00%	Not Migrated	8c5248a		INTELISIS SP SpCREDIDatosSolicitudCreditoArt / INSERT INTO CREDIHUnificacionMonedero (IdEcommerce, ClienteCredito, ClienteContado, FechaRegistro) VALUES (@IdEcommerce, @ClienteCredito, @ClienteContado, GETDATE()) / cteEnciarA (AccountType method)
CreditController	credit/SolicitudMercancia	POST	WebApiMagento/Controllers/CreditController.cs:559	WebApiMagento/Controllers/CreditController.cs:318	Unknown	Unknown	ANDROID	0.00%	0.00%	0.00%	Planed Dev 1	8c5248a		Es android
CreditController	credit/guardardocumento	POST	WebApiMagento/Controllers/CreditController.cs:591	WebApiMagento/Controllers/CreditController.cs:442	Unknown	Unknown	EXT (Hazten document store)				Planed Dev 1	8c5248a		Added 2026-07-13 by Uriel Valencia; document-image service, not an Intelisis dependency.
CreditController	credit/SaveHaztenTransaction	POST	WebApiMagento/Controllers/CreditController.cs:424	WebApiMagento/Controllers/CreditController.cs:264	Unknown	Unknown	EXT (Hazten)				Out of scope	8c5248a		As above.
CreditController	credit/CreditoWeb_FormDatos	POST	WebApiMagento/Controllers/CreditController.cs:144	WebApiMagento/Controllers/CreditController.cs:141			ANDROID				Planed Dev 1	8c5248a		CrediLana. Explicitly excluded from SAP scope — master_migration_summary_unified.md §2.
CreditController	credit/CreditoWeb_SaveFirstData	POST	WebApiMagento/Controllers/CreditController.cs:186	WebApiMagento/Controllers/CreditController.cs:156			ANDROID				Planed Dev 1	8c5248a		CrediLana.
CreditController	credit/CreditoWeb_SaveData	POST	WebApiMagento/Controllers/CreditController.cs:404	WebApiMagento/Controllers/CreditController.cs:417			ANDROID				Planed Dev 1	8c5248a		CrediLana.
CreditController	credit/CreditoWeb_SaveData_Articulos	POST	WebApiMagento/Controllers/CreditController.cs:208	WebApiMagento/Controllers/CreditController.cs:170	Unknown	Unknown	ANDROID	0.00%	0.00%	0.00%	Planed Dev 1	8c5248a		Es android
CreditController	credit/CreditoWeb_Informacion	POST	WebApiMagento/Controllers/CreditController.cs:288	WebApiMagento/Controllers/CreditController.cs:334			ANDROID				Planed Dev 1	8c5248a		CrediLana.
CreditController	credit/CreditoWeb_Solicitud	POST	WebApiMagento/Controllers/CreditController.cs:339	WebApiMagento/Controllers/CreditController.cs:358			ANDROID				Planed Dev 1	8c5248a		CrediLana.
CreditController	credit/CreditoWeb_SolicitudPrimerGuardado	POST	WebApiMagento/Controllers/CreditController.cs:352	WebApiMagento/Controllers/CreditController.cs:393			ANDROID				Planed Dev 1	8c5248a		CrediLana.
CreditController	credit/CreditoWeb_Seguro	POST	WebApiMagento/Controllers/CreditController.cs:386	WebApiMagento/Controllers/CreditController.cs:405			ANDROID				Planed Dev 1	8c5248a		CrediLana.
CreditController	credit/GetCreditAmounts	POST	WebApiMagento/Controllers/CreditController.cs:314	WebApiMagento/Controllers/CreditController.cs:346			ANDROID				Planed Dev 1	8c5248a		CrediLana.
CreditController	credit/Validar_Lada	POST	WebApiMagento/Controllers/CreditController.cs:364	WebApiMagento/Controllers/CreditController.cs:370			ANDROID				Deprecated	8c5248a		CrediLana.
CreditController	credit/codigoRecomendadoWithUen	POST	WebApiMagento/Controllers/CreditController.cs:256	WebApiMagento/Controllers/CreditController.cs:199			INTELISIS				Out of scope	8c5248a		UEN variant; not in gap scope.
CreditController	credit/SaveImagesProductosMx	POST	WebApiMagento/Controllers/CreditController.cs:271	WebApiMagento/Controllers/CreditController.cs:211			EXT				Planed Dev 1	8c5248a		ProductosMX image upload.
CreditController	credit/GetPhoneValidatedClientSecretName	POST	WebApiMagento/Controllers/CreditController.cs:541	WebApiMagento/Controllers/CreditController.cs:290			ANDROID				Planed Dev 1	8c5248a		SMS/CrediLana family.
CreditController	credit/SendSmsNewNumber	POST	WebApiMagento/Controllers/CreditController.cs:548	WebApiMagento/Controllers/CreditController.cs:302			ANDROID				Planed Dev 1	8c5248a		SMS/CrediLana family.
CustomersController	customer/setCustomer	POST	WebApiMagento/Controllers/CustomersController.cs:14	WebApiMagento/Controllers/CustomersController.cs:19	partner/client	POST	SAP (BP01 ZAPI_BP01_PARTNER_SRV)	100.00%	100.00%	100.00%	Migrated	c14b8c6	2026-07-15	Bridge at DMZ CustomersController.cs:30. Route fully renamed. Returns BP number instead of Intelisis C-prefixed account.
CustomersController	customer/setCustomerList	POST	WebApiMagento/Controllers/CustomersController.cs:24	WebApiMagento/Controllers/CustomersController.cs:41	partner/client (batch)	POST	SIGMAVI + SAP	0.00%	0.00%	0.00%	Not Migrated	b416730		SpVTASListaNBMagento , SpVTASListaNBMagento, No se ha definido si la tabla se migrara a SAP o SigMavi para implementar logica
CustomersController	customer/getCustomerList	GET	WebApiMagento/Controllers/CustomersController.cs:54	WebApiMagento/Controllers/CustomersController.cs:78	partner/client/{clientId}	GET	SIGMAVI + SAP	0.00%	100.00%	100.00%	Not Migrated	b416730		Verb mismatch: DMZ declares [HttpGet], LAN declares [HttpPost], DMZ calls curl.Post. Pre-existing defect, not introduced by the migration.
CustomersController	customer/deleteCustomerList	POST	WebApiMagento/Controllers/CustomersController.cs:80	WebApiMagento/Controllers/CustomersController.cs:96	Unknown	Unknown	INTELISIS	0.00%	0.00%	0.00%	Not Migrated	b416730		SpVTASListaNBMagento , SpVTASListaNBMagento
CustomersController	customer/cashCustomerReport	POST	WebApiMagento/Controllers/CustomersController.cs:108	WebApiMagento/Controllers/CustomersController.cs:114	Unknown	Unknown	OTRO	0.00%	0.00%	0.00%	Planed Dev 1	b416730		"@""\\172.16.200.2\mavica\ecom\BaseWhatsapp\STAGE\"" + customerReportRequest.fileName, true);"
CustomerServiceController	customerService/GetAccountDebts	POST	WebApiMagento/Controllers/CustomerServiceController.cs:99	WebApiMagento/Controllers/CustomerServiceController.cs:129	credit/GetAccountDebts	POST	SAP (EX01 ZAPI_EX01_NOCOMP_SRV)	100.00%	100.00%	100.00%	Migrated	9ec6be1	2026-07-24	Bridge at DMZ CustomerServiceController.cs:137. Controller prefix changed customerService ? credit. See G-05.
CustomerServiceController	customerService/ApplyPaymentNeko	POST	WebApiMagento/Controllers/CustomerServiceController.cs:106	WebApiMagento/Controllers/CustomerServiceController.cs:149	credit/ApplyPaymentNeko	POST	SAP (ZFICRUD_COBREF_SRV)	0.00%	0.00%	0.00%	In Progress	9ec6be1		es el api de ponce /sap/opu/odata/SAP/ZFICRUD_COBREF_SRV/WACOBREFSet, se comparte el wrapper
CustomerServiceController	customerService/UpdateStatusPaymentNeko	POST	WebApiMagento/Controllers/CustomerServiceController.cs:128	WebApiMagento/Controllers/CustomerServiceController.cs:183	credit/UpdateStatusPaymentNeko	POST	SAP (ZFICRUD_COBREF_SRV)	0.00%	0.00%	0.00%	In Progress	9ec6be1		
CustomerServiceController	customerService/ApplyPaymentAdvanced	POST	WebApiMagento/Controllers/CustomerServiceController.cs:117	WebApiMagento/Controllers/CustomerServiceController.cs:166	Unknown	Unknown	SAP (ZFICRUD_COBREF_SRV — new)	0.00%	0.00%	0.00%	Not Migrated	9ec6be1		
CustomerServiceController	customerService/UpdateStatusPaymentAdvanced	POST	WebApiMagento/Controllers/CustomerServiceController.cs:135	WebApiMagento/Controllers/CustomerServiceController.cs:193	Unknown	Unknown	SAP (ZFICRUD_COBREF_SRV)	0.00%	0.00%	0.00%	Not Migrated	9ec6be1		
CustomerServiceController	customerService/obtenerTipoGarantia	POST	WebApiMagento/Controllers/CustomerServiceController.cs:15	WebApiMagento/Controllers/CustomerServiceController.cs:21	Unknown	Unknown	SIGMAVI	0.00%	0.00%	0.00%	Not Migrated	9ec6be1		Preguntar quien llena la tabla VTASCProveedorActivoGarantia, para migrarla a sigmavi
CustomerServiceController	customerService/unirCuenta	POST	WebApiMagento/Controllers/CustomerServiceController.cs:37	WebApiMagento/Controllers/CustomerServiceController.cs:50	Unknown	Unknown	SAP (BP05 ? ZID_MAGENTO)	0.00%	100.00%	100.00%	In Progress	9ec6be1		Unir, investigar api para update del cliente
CustomerServiceController	customerService/validarCliente	POST	WebApiMagento/Controllers/CustomerServiceController.cs:46	WebApiMagento/Controllers/CustomerServiceController.cs:62	partner/client/{clientId}	GET	SAP (BP05)	0.00%	100.00%	100.00%	In Progress	9ec6be1		Strategy in dmz_orders_sap_mapping.md (Customer Service §1): replace the Cte table join with a BP05 lookup.
CustomerServiceController	customerService/nombreCliente	POST	WebApiMagento/Controllers/CustomerServiceController.cs:55	WebApiMagento/Controllers/CustomerServiceController.cs:74	partner/client/{clientId}	GET	SAP (BP05)	0.00%	100.00%	100.00%	In Progress	9ec6be1		Same BP05 lookup.
CustomerServiceController	customerService/bitacoraAtencionClientes	POST	WebApiMagento/Controllers/CustomerServiceController.cs:68	WebApiMagento/Controllers/CustomerServiceController.cs:90	Unknown	Unknown	ANDROID (Sigmavi)				Planed Dev 1	9ec6be1		Estimated 1/2/3 days, Dev 1.
CustomerServiceController	customerService/validarCoberturaPorCP	POST	WebApiMagento/Controllers/CustomerServiceController.cs:213	WebApiMagento/Controllers/CustomerServiceController.cs:295	Unknown	Unknown	INTELISIS	0.00%	0.00%	0.00%	Not Migrated	9ec6be1		TABLE CodigoPostal , NO ESTA DEFINIDO LOS CP por proveedor de paqueteria, definir si se usa tabla z o tk11 transaccion de transportes, relacion con dtran08
CustomerServiceController	customerService/obtenerVentanaConfirmacion	POST	WebApiMagento/Controllers/CustomerServiceController.cs:24	WebApiMagento/Controllers/CustomerServiceController.cs:33	Unknown	Unknown	INTELISIS + (BP05) + (SD36)	0.00%	0.00%	0.00%	Not Migrated	9ec6be1		FALTA LA api para obtener venta-entrega
CustomerServiceController	customerService/obtenerCreditos	POST	WebApiMagento/Controllers/CustomerServiceController.cs:77	WebApiMagento/Controllers/CustomerServiceController.cs:103	Unknown	Unknown	INTELISIS	0.00%	0.00%	0.00%	Not Migrated	9ec6be1		TarjetaSerieMovMAVI , venta (sd36), articulos ya se tiene
CustomerServiceController	customerService/obtenerQuejas	POST	WebApiMagento/Controllers/CustomerServiceController.cs:86	WebApiMagento/Controllers/CustomerServiceController.cs:115	Unknown	Unknown	ANDROID	0.00%	0.00%	0.00%	Planed Dev 1	9ec6be1		
CustomerServiceController	customerService/ObtenerEstatusEmbarque	POST	WebApiMagento/Controllers/CustomerServiceController.cs:226	WebApiMagento/Controllers/CustomerServiceController.cs:311	Unknown	Unknown	INTELISIS	0.00%	0.00%	0.00%	Not Migrated	9ec6be1		Consulta de SD08
CustomerServiceController	customerService/LoginClienteCredito	POST	WebApiMagento/Controllers/CustomerServiceController.cs:174	WebApiMagento/Controllers/CustomerServiceController.cs:204	Unknown	Unknown	INTELISIS				Out of scope	9ec6be1		CrediLana portal auth.
CustomerServiceController	customerService/LoginClienteCreditoFechaN	POST	WebApiMagento/Controllers/CustomerServiceController.cs:181	WebApiMagento/Controllers/CustomerServiceController.cs:215	Unknown	Unknown	INTELISIS				Out of scope	9ec6be1		CrediLana portal auth.
CustomerServiceController	customerService/GetSTPAccount	POST	WebApiMagento/Controllers/CustomerServiceController.cs:188	WebApiMagento/Controllers/CustomerServiceController.cs:226	Unknown	Unknown	EXT (STP)	0.00%	0.00%	0.00%	Not Migrated	9ec6be1		Se nos proporcionara una api SAP para realizar la implementación (STP_API)
CustomerServiceController	customerService/GetSalesChannelsSTP	POST	WebApiMagento/Controllers/CustomerServiceController.cs:195	WebApiMagento/Controllers/CustomerServiceController.cs:237	Unknown	Unknown	EXT (STP)	0.00%	0.00%	0.00%	Not Migrated	9ec6be1		CteEnviarA (STP_API)
CustomerServiceController	customerService/ValidateSTPAccount	GET	WebApiMagento/Controllers/CustomerServiceController.cs:202	WebApiMagento/Controllers/CustomerServiceController.cs:248	Unknown	Unknown	EXT (STP)	0.00%	0.00%	0.00%	To Plan	9ec6be1		Se debe crear una tabla Z en SAP, consumir su API con el BP, clabe, y campo 
CustomerServiceController	customerService/bbvaKeyNeko	POST	WebApiMagento/Controllers/CustomerServiceController.cs:142	WebApiMagento/Controllers/CustomerServiceController.cs:258	Unknown	Unknown	EXT (BBVA)	0.00%	0.00%	0.00%	Deprecated	9ec6be1		API ALAN ISAI desarrollador punto de venta, ya no se consulta
CustomerServiceController	customerService/bbvaKeyAdvanced	POST	WebApiMagento/Controllers/CustomerServiceController.cs:158	WebApiMagento/Controllers/CustomerServiceController.cs:275	Unknown	Unknown	EXT (BBVA)	0.00%	0.00%	0.00%	Planed Dev 1	9ec6be1		API ALAN ISAI desarrollador punto de venta
CustomerServiceController	customerService/GetEmpleadoByNomina	POST	WebApiMagento/Controllers/CustomerServiceController.cs:236	WebApiMagento/Controllers/CustomerServiceController.cs:367	Unknown	Unknown	INTELISIS (payroll)				Out of scope	9ec6be1		Employee lookup; outside e-commerce scope.
CustomerServiceController	customerService/ActualizarCamposConfigurables	POST	Not in LAN - proxy target missing on both refs (G-07)	WebApiMagento/Controllers/CustomerServiceController.cs:327			Unknown				Planed Dev 1	9ec6be1		Dangling proxy — target absent from both stage-delta and origin/Production. See G-07.
CustomerServiceController	customerService/InsertarDesdeTablerateNativo	POST	Not in LAN - proxy target missing on both refs (G-07)	WebApiMagento/Controllers/CustomerServiceController.cs:339			Unknown				Planed Dev 1	9ec6be1		Dangling proxy. See G-07.
CustomerServiceController	customerService/InsertarDesdeTablerateCustom	POST	Not in LAN - proxy target missing on both refs (G-07)	WebApiMagento/Controllers/CustomerServiceController.cs:351			Unknown				Planed Dev 1	9ec6be1		Dangling proxy. See G-07.
LoginController	login/authenticate	POST	WebApiMagento/Controllers/LoginController.cs:17	WebApiMagento/Controllers/LoginController.cs:17	login/auth	POST	(local JWT)				Planed Dev 1	7f1b3dc		ServicioSAP exposes login/auth; the DMZ Curl constructor already authenticates against it. DMZ's own inbound route unchanged (correct — Magento's contract).
MagentoController	magento/attributes	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:14			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/general/attributes	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:22			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/attributeSets	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:30			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/attributeSetChildren/{id}	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:38			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/categories	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:46			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/children/{page}/{size}/{store}	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:54			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/noImagenProduct/{store}	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:62			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/productWithWebsites/{page}/{size}	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:70			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/getOrderId/{incrementId}	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:78			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/deletePromociones	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:90			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/deleteReservations	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:103			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/getCuenta	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:112			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
MagentoController	magento/setCuenta	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/MagentoController.cs:121			MAGENTO				Planed Dev 1	6683489		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
OrdersController	order/setOrder	POST	WebApiMagento/Controllers/OrdersController.cs:138	WebApiMagento/Controllers/OrdersController.cs:108	order/new	POST	SAP (ZAPI_SALESORDER_SRV, SD01)	100.00%	100.00%	100.00%	Migrated	787de93	2026-03-31	"Bridge at DMZ OrdersController.cs:196. Legacy curl.Post(""order/setOrder"") retained at line 138 but unreachable — dead code."
OrdersController	order/cancelOrder	POST	WebApiMagento/Controllers/OrdersController.cs:186	WebApiMagento/Controllers/OrdersController.cs:272	order/cancelOrder	POST	SAP (SD46 — goods-issue reversal)	70.00%	100.00%	100.00%	Migrated	d1b3d6e	2026-07-23	Bridge at DMZ OrdersController.cs:282. Author: ANGEL JAVIER RAMOS ALVARADO. Returns sentinel strings noexiste / ok.
OrdersController	order/returnOrder	POST	WebApiMagento/Controllers/OrdersController.cs:253	WebApiMagento/Controllers/OrdersController.cs:301	order/setreturn	POST	SAP (SD09 — returns/RMA)	100.00%	100.00%	100.00%	Migrated	c14b8c6	2026-07-15	Bridge at DMZ OrdersController.cs:317. Route renamed returnOrder ? setreturn.
OrdersController	order/getIntelisisStatuses	POST	WebApiMagento/Controllers/OrdersController.cs:93	WebApiMagento/Controllers/OrdersController.cs:70	(planned) order/getIntelisisStatuses	POST	SAP (SD36 ZAPI_DOCVTAS_CHECK_CDS)				Not Migrated	8c5248a		Strategy fully specified in dmz_orders_sap_mapping.md §1; building block SalesMethods.CheckDocumentExistsSD36Async exists but no endpoint.
OrdersController	order/getPosCancellations	POST	WebApiMagento/Controllers/OrdersController.cs:113	WebApiMagento/Controllers/OrdersController.cs:89	order/cancelInvoice	POST	SAP (SD48 — invoice cancellation)				In Progress	8c5248a		SAP side complete (5ef8d25, 2026-07-16). Estimated 5h/8h/2d, Dev 3. LAN counterpart exists on stage-delta but not on origin/Production — see G-18.
OrdersController	order/creditStatus/{idSolicitud}	GET	WebApiMagento/Controllers/OrdersController.cs:485	WebApiMagento/Controllers/OrdersController.cs:461	(planned) — reuse SD36	GET	SAP (SD36 ? to_zsdt_vbak.Zidstatus)				Not Migrated	8c5248a		Mapping documented in dmz_orders_sap_mapping.md §2 including the 01?Pendiente / 02?Concluido / 03?Anulado translation.
OrdersController	order/updateCreditOrderId	POST	WebApiMagento/Controllers/OrdersController.cs:507	WebApiMagento/Controllers/OrdersController.cs:405	Unknown	Unknown	Unknown				Planed Dev 1	8c5248a		Open technical question: SAP has not confirmed whether a PATCH to ZAPI_SALESORDER_SRV can rewrite the reference field. dmz_orders_sap_mapping.md §3.
OrdersController	order/estimated-delivery/{ecommerceId}	GET	WebApiMagento/Controllers/OrdersController.cs:536	WebApiMagento/Controllers/OrdersController.cs:486	Unknown	Unknown	INTELISIS (INVDPaqueteriaGuia)				Not Migrated	8c5248a		Blocked. No SAP service identified to replace INVDPaqueteriaGuia. Unestimated.
OrdersController	order/GetPickUpCode	POST	WebApiMagento/Controllers/OrdersController.cs:347	WebApiMagento/Controllers/OrdersController.cs:253	Unknown	Unknown	INTELISIS (TrWDM0285_CteRecoge)				Not Migrated	8c5248a		Blocked, unassigned. Business has not defined the clave venta PIN process. informe_estimaciones_gap.md §4.
OrdersController	order/ManagePaynetOrders	POST	WebApiMagento/Controllers/OrdersController.cs:22	WebApiMagento/Controllers/OrdersController.cs:21	(planned)	POST	SQLITE / INTELISIS (spAfectar)				Planed Dev 1	8c5248a		Depends on spAfectar, declared dead. Documents conflict on readiness — see G-08.
OrdersController	order/InsertPaymentData	POST	WebApiMagento/Controllers/OrdersController.cs:55	WebApiMagento/Controllers/OrdersController.cs:52	(planned)	POST	SQLITE (CXCCMensajeWebHookOpenPay)				Planed Dev 1	8c5248a		Requires SQLite/EF configured in ServicioSAP. See G-08.
OrdersController	order/getGuide	POST	WebApiMagento/Controllers/OrdersController.cs:164	WebApiMagento/Controllers/OrdersController.cs:231	(internal) SaveGuide		SQLITE				Planed Dev 1	8c5248a		master_migration_summary_unified.md §2.1 reports SaveGuide migrated to SQLite; no DMZ-facing route exposed.
OrdersController	order/validateCredit	POST	WebApiMagento/Controllers/OrdersController.cs:457	WebApiMagento/Controllers/OrdersController.cs:370			SAP (credit release, async callback)				In Progress	8c5248a		Callback flow implemented in OrderMethods via VETA_URL_LIBERADOR / URL_DMZ; DMZ route not repointed.
OrdersController	order/authorizationResult	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/OrdersController.cs:422			MAGENTO				Planed Dev 1	8c5248a		DMZ?Magento notification. Not an Intelisis dependency.
OrdersController	order/setOrderStatus	POST	WebApiMagento/Controllers/OrdersController.cs:311	WebApiMagento/Controllers/OrdersController.cs:325			MAGENTO				Planed Dev 1	8c5248a		Handler uses new Magento() directly; never reaches LAN.
OrdersController	order/getOrderInfo/{incrementId}	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/OrdersController.cs:336			MAGENTO				Planed Dev 1	8c5248a		Magento-direct.
OrdersController	order/jsonOrders/{incrementId}	GET	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/OrdersController.cs:344			MAGENTO				Planed Dev 1	8c5248a		Magento-direct.
OrdersController	order/setCAccount	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/OrdersController.cs:358			MAGENTO				Planed Dev 1	8c5248a		Magento-direct.
OrdersController	order/sendStorePickupEmail	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/OrdersController.cs:242			MAGENTO				Planed Dev 1	8c5248a		Magento-direct.
OrdersController	order/getprueba	GET	Not in LAN - DMZ-local diagnostic	WebApiMagento/Controllers/OrdersController.cs:38							Planed Dev 1	8c5248a		Diagnostic stub. Should not be exposed in production — see G-12.
ProductsController	product/updateProduct/{store}	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/ProductsController.cs:26			MAGENTO				Planed Dev 1	f516663		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
ProductsController	product/updateConfigurableProduct/{store}	POST	Not in LAN - DMZ calls Magento REST directly	WebApiMagento/Controllers/ProductsController.cs:35			MAGENTO				Planed Dev 1	f516663		Handled by new Magento() in the DMZ; calls the Magento REST API directly. Never reaches Intelisis.
