Archivo,Linea,Tipo,EnCatch,UsaLaExcepcion,Metodo,Mensaje,Propuesta,Decision
Controllers\CustomerServiceController.cs,83,Logger.SAP,SI,SI,LoginClienteCredito,ERROR LoginClienteCredito SAP,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CustomerServiceController.cs,104,Logger.SAP,SI,SI,LoginClienteCreditoFechaN,ERROR LoginClienteCreditoFechaN SAP,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CustomerServiceController.cs,138,Logger.SAP,SI,SI,ObtenerCreditos,ERROR obtenerCreditos SAP,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\CustomersController.cs,52,Logger.SAP,SI,SI,SetCustomerEmailage,[CUSTOMER setCustomerList ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\OrderController.cs,45,Logger.SAP,SI,NO,SetOrder,[ORDER NEW ERROR]  + incrementId={order?.incrementId} :: {e},"CONSERVAR (excepcion, se escribe en disco)",
Controllers\OrderController.cs,255,Logger.SAP,SI,SI,GenerateNewStorepickupCode,[ORDER generateNewStorepickupCode ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\OrderController.cs,275,Logger.SAP,SI,SI,CreateStorepickupCode,[ORDER createStorepickupCode ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\OrderController.cs,326,Logger.SAP,SI,SI,GetCondicion,[ORDER getCondicion ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Controllers\ProspectoController.cs,70,Logger.SAP,SI,SI,RecuperarCuenta,ERROR recuperarcuenta SAP,"CONSERVAR (excepcion, se escribe en disco)",
Helpers\ConexionDMZ\Curl.cs,88,Console.WriteLine,NO,NO,PostAsync,[Curl.Post] [{attempt}/{_maxRetries}] {relativePath} -> {response.StatusCode},QUITAR (no es excepcion),
Helpers\ConexionDMZ\Curl.cs,98,Console.WriteLine,SI,SI,PostAsync,[Curl.Post] ERROR [{attempt}/{_maxRetries}] {relativePath}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Helpers\ConexionDMZ\Curl.cs,127,Console.WriteLine,NO,NO,GetAsync,[Curl.Get] [{attempt}/{_maxRetries}] {relativePath} -> {response.StatusCode},QUITAR (no es excepcion),
Helpers\ConexionDMZ\Curl.cs,137,Console.WriteLine,SI,SI,GetAsync,[Curl.Get] ERROR [{attempt}/{_maxRetries}] {relativePath}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Helpers\Logger.cs,44,Debug.WriteLine,NO,NO,SAP,[yyyy-MM-dd HH:mm:ss]  +  [SAP] ,INFRAESTRUCTURA (es el propio Logger),
Helpers\MailHelper.cs,155,Console.WriteLine,SI,SI,SendSmtpEmailAsync,Correo no enviado: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\BusinessPartner\BusinessPartnerMethods.cs,88,Logger.SAP,NO,NO,SubmitClientInfoAsync,[SAP BP REQUEST] ,QUITAR (no es excepcion),
Methods\BusinessPartner\BusinessPartnerMethods.cs,99,Logger.SAP,NO,NO,SubmitClientInfoAsync,[SAP BP RESPONSE] ,QUITAR (no es excepcion),
Methods\BusinessPartner\BusinessPartnerMethods.cs,103,Logger.SAP,NO,NO,SubmitClientInfoAsync,[SAP BP ERROR]  + StatusCode: {response.StatusCode}. Content: {responseContent},QUITAR (no es excepcion),
Methods\BusinessPartner\BusinessPartnerMethods.cs,852,Logger.SAP,NO,NO,LinkMagentoAccountAsync,[SAP ZidMagento PATCH REQUEST] ,QUITAR (no es excepcion),
Methods\BusinessPartner\BusinessPartnerMethods.cs,863,Logger.SAP,NO,NO,LinkMagentoAccountAsync,[SAP ZidMagento PATCH RESPONSE] ,QUITAR (no es excepcion),
Methods\BusinessPartner\BusinessPartnerMethods.cs,902,Logger.SAP,SI,SI,GetConsultaAnexosAsync,[BusinessPartnerMethods GetConsultaAnexosAsync ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Catalog\MagentoCatalogMethods.cs,87,Logger.SAP,NO,NO,GetAttributesAsync,[CATALOG getAttributes]  + items={attr.items.Length},QUITAR (no es excepcion),
Methods\Catalog\MagentoCatalogMethods.cs,118,Logger.SAP,NO,NO,GetGeneralAttributesAsync,[CATALOG getGeneralAttributes]  + items={attr.items.Length},QUITAR (no es excepcion),
Methods\Catalog\MagentoCatalogMethods.cs,146,Logger.SAP,NO,NO,GetAttributeSetsAsync,[CATALOG getAttributeSets]  + items={attrSet.items.Length},QUITAR (no es excepcion),
Methods\Catalog\MagentoCatalogMethods.cs,204,Logger.SAP,NO,NO,SendAttributesToIntelisisAsync,[CATALOG sendAttributesToIntelisis]  + sets={resultado.Count},QUITAR (no es excepcion),
Methods\Catalog\MagentoCatalogMethods.cs,222,Logger.SAP,NO,NO,DeletePromocionesAsync,[CATALOG deletePromociones] ,QUITAR (no es excepcion),
Methods\Catalog\MagentoCatalogMethods.cs,235,Logger.SAP,NO,NO,DeleteReservationsAsync,[CATALOG deleteReservations] ,QUITAR (no es excepcion),
Methods\Catalog\MagentoCatalogMethods.cs,263,Logger.SAP,NO,NO,GetCategoriesAsync,[CATALOG getCategories]  + items={cat.items.Length},QUITAR (no es excepcion),
Methods\Catalog\MagentoCatalogMethods.cs,309,Logger.SAP,NO,NO,GetChildrenAsync,[CATALOG getChildren]  + store={store} items={total},QUITAR (no es excepcion),
Methods\Catalog\MagentoCatalogMethods.cs,348,Logger.SAP,NO,NO,GetProductWithWebsitesAsync,[CATALOG getProductWithWebsites]  + items={total},QUITAR (no es excepcion),
Methods\Credit\CreditMethods.cs,111,Logger.SAP,SI,SI,GetPlazosAsync,[CREDIT GetPlazos ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Credit\CreditMethods.cs,112,Debug.WriteLine,SI,SI,GetPlazosAsync,[CREDIT GetPlazos ERROR] {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Credit\CreditMethods.cs,153,Logger.SAP,SI,SI,SendSmsNewNumberAsync,[CREDIT SendSmsNewNumber ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Credit\CreditMethods.cs,186,Logger.SAP,SI,SI,GetIdRefAsync,[CREDIT GetIdRef ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Credit\CreditMethods.cs,225,Logger.SAP,SI,SI,InsertCodigoVerificacionAsync,[CREDIT InsertCodigoVerificacion ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Credit\DocumentMethods.cs,112,Logger.SAP,NO,NO,GuardarDocumentoAsync,[CREDIT guardardocumento] ,QUITAR (no es excepcion),
Methods\Credit\DocumentMethods.cs,196,Logger.SAP,NO,NO,GuardarDocumentoAsync,[CREDIT guardardocumento] ,QUITAR (no es excepcion),
Methods\Credit\DocumentMethods.cs,207,Logger.SAP,SI,SI,GuardarDocumentoAsync,[CREDIT guardardocumento ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Credit\DocumentMethods.cs,258,Logger.SAP,SI,SI,SaveImagesProductosMxAsync,[CREDIT SaveImagesProductosMx ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Credit\DocumentMethods.cs,267,Logger.SAP,SI,SI,SaveImagesProductosMxAsync,[CREDIT SaveImagesProductosMx ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Credit\DocumentMethods.cs,302,Logger.SAP,SI,SI,SaveSelfieImageForCreditAsync,[CREDIT SaveSelfieImageForCredit ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Credit\DocumentMethods.cs,341,Logger.SAP,SI,SI,SaveCompressedFileAsync,[CREDIT SaveCompressedFile ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Credit\LiberadorCreditoMethods.cs,54,Console.WriteLine,NO,NO,LiberarCliente,[LiberadorCredito] Missing appSettings for liberador.,QUITAR (no es excepcion),
Methods\Credit\LiberadorCreditoMethods.cs,94,Console.WriteLine,NO,NO,LiberarCliente,[LiberadorCredito] {cliente} EN_ANALISIS (idVenta={result.idVenta}),QUITAR (no es excepcion),
Methods\Credit\LiberadorCreditoMethods.cs,98,Console.WriteLine,NO,NO,LiberarCliente,[LiberadorCredito] {cliente} EN_ANALISIS idVenta=0,QUITAR (no es excepcion),
Methods\Credit\LiberadorCreditoMethods.cs,104,Console.WriteLine,SI,SI,LiberarCliente,[LiberadorCredito] Error {ex.GetType().Name}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Credit\SolicitudCreditoWebMethods.cs,363,Logger.SAP,SI,SI,ObtenerTelefonoAValidarAsync,[CREDIT ObtenerTelefonoAValidar ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\CustomerService\CustomerServiceMethods.cs,82,Logger.SAP,SI,SI,obtenerQuejasAsync,[CUSTOMERSERVICE obtenerQuejas ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\CustomerService\CustomerServiceMethods.cs,150,Logger.SAP,SI,SI,GetBBVAKeyAdvancedAsync,[CUSTOMERSERVICE bbvaKeyAdvanced ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\CustomerService\CustomerServiceMethods.cs,217,Logger.SAP,SI,SI,validarClienteAsync,ERROR validarCliente,"CONSERVAR (excepcion, se escribe en disco)",
Methods\CustomerService\CustomerServiceMethods.cs,249,Logger.SAP,SI,SI,LoginClienteCreditoAsync,ERROR LoginClienteCredito,"CONSERVAR (excepcion, se escribe en disco)",
Methods\CustomerService\CustomerServiceMethods.cs,314,Logger.SAP,SI,SI,LoginClienteCreditoFechaNAsync,ERROR LoginClienteCreditoFechaN,"CONSERVAR (excepcion, se escribe en disco)",
Methods\CustomerService\CustomerServiceMethods.cs,352,Logger.SAP,SI,SI,ObtenerCreditosAsync,[CUSTOMERSERVICE ObtenerCreditos] BP FETCH ERROR: ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\CustomerService\CustomerServiceMethods.cs,528,Logger.SAP,SI,SI,ObtenerCreditosAsync,[CUSTOMERSERVICE ObtenerCreditos ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Customer\CashReportMethods.cs,82,Logger.SAP,SI,SI,CreateCashReportAsync,[CUSTOMER cashCustomerReport ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Customer\CustomerMethods.cs,66,Logger.SAP,SI,SI,blackwhitelistAsync,[CUSTOMER blackwhitelist ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Customer\CustomerMethods.cs,93,Logger.SAP,SI,SI,ValidarClienteEnSapAsync,[CUSTOMER ValidarClienteEnSap] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Ecommerce\EcommerceMethods.cs,625,Console.WriteLine,NO,NO,FiltrarArticulosConImagenAsync,ADVERTENCIA: No se encontraron datos de imágenes optimizadas,QUITAR (no es excepcion),
Methods\Ecommerce\EcommerceMethods.cs,636,Console.WriteLine,NO,NO,FiltrarArticulosConImagenAsync,FASE 7: Se eliminaron {eliminados} artículos sin imagen optimizada,QUITAR (no es excepcion),
Methods\Ecommerce\EcommerceMethods.cs,643,Console.WriteLine,SI,SI,FiltrarArticulosConImagenAsync,Error en FASE 7: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Ecommerce\EcommerceMethods.cs,1614,Console.WriteLine,SI,SI,CargarCrossSellSapSiNoExisteAsync,Advertencia al precargar crosssell SAP para {sku}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Ecommerce\EcommerceMethods.cs,1649,Console.WriteLine,SI,SI,CargarUpsellSapSiNoExisteAsync,Advertencia al precargar upsell SAP para {sku}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Ecommerce\EcommerceMethods.cs,1684,Console.WriteLine,SI,SI,CargarSustitutosSapSiNoExisteAsync,Advertencia al precargar sustitutos SAP para {sku}: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\MaterialManagement\ProductMethods.cs,511,Console.WriteLine,SI,SI,GetExclusionesFamMAAsync,Console.WriteLine(ex.Message);,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\MagentoOrderMethods.cs,34,Logger.SAP,SI,SI,SetCAccountAsync,[ORDER setCAccount ERROR] ,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Order\OrderMethods.cs,461,Console.WriteLine,SI,SI,ValidarPedidoExistenteSAPAsync,Error ValidarPedidoExistenteSAP: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,489,Console.WriteLine,SI,SI,SaveToValidateOpenpayAsync,Error SaveToValidateOpenpay: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,518,Console.WriteLine,SI,SI,SaveOpenpayStoresOrderAsync,Error SaveOpenpayStoresOrder: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,550,Console.WriteLine,SI,SI,SaveGuideAsync,Error SaveGuide: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,610,Console.WriteLine,SI,SI,ObtenerNumeroTablaSmsAsync,Error ObtenerNumeroTablaSms() => ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,657,Console.WriteLine,SI,SI,IsValidatedAsync,Error IsValidated() => ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,713,Logger.SAP,SI,SI,ProcessCreditPaymentAsync,ServicioSap.Helpers.Logger.SAP(,"CONSERVAR (excepcion, se escribe en disco)",
Methods\Order\OrderMethods.cs,716,Console.WriteLine,SI,SI,ProcessCreditPaymentAsync,[ProcessCreditPayment] La solicitud {idSolicitud} quedo SIN LINEAS DE ARTICULO: {exArt.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,779,Console.WriteLine,SI,SI,ProcessCreditPaymentAsync,Error ProcessCreditPayment: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,794,Console.WriteLine,SI,SI,CheckClientCreditAsync,Error CheckClientCredit: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,877,Console.WriteLine,NO,NO,InsertCreditArticlesAsync,[InsertCreditArticles] Sin articulos que insertar para la solicitud ,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,979,Console.WriteLine,NO,NO,InsertCreditArticlesAsync,[InsertCreditArticles] SD29 no devolvio renglones de OrgVtas '{orgVentas}' para SKU '{articuloActual}'.,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1016,Console.WriteLine,NO,NO,InsertCreditArticlesAsync,[InsertCreditArticles] ADVERTENCIA: SD29 no devolvio precio para SKU '{articuloActual}' con condicion '{condicion}'.,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1036,Console.WriteLine,SI,SI,InsertCreditArticlesAsync,"Error InsertCreditArticles (solicitud {idSolicitud}, insertados {insertados}): {ex.Message}",EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1041,Console.WriteLine,NO,NO,InsertCreditArticlesAsync,"[InsertCreditArticles] Solicitud {idSolicitud}: {insertados} de {articulos.Length} lineas insertadas, {sinPrecio} sin precio de SD29.",QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1103,Console.WriteLine,SI,SI,HandlePromoCodeAsync,Error al consultar SuccessFactors en HandlePromoCodeAsync: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1160,Console.WriteLine,SI,SI,HandlePromoCodeAsync,Error obteniendo la sucursal: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1189,Console.WriteLine,SI,SI,HandlePromoCodeAsync,Error HandlePromoCode: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1206,Console.WriteLine,SI,SI,LiberateClientCredit,Error LiberateClientCredit: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1264,Console.WriteLine,NO,NO,CallMagentoAuthorizationCallbackAsync,[CallMagentoCallback] [{attempt}] Token OK — entityId={entityId} status={status},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1287,Console.WriteLine,NO,NO,CallMagentoAuthorizationCallbackAsync,[CallMagentoCallback] [{attempt}] entityId={entityId} status={status} dmz={response.StatusCode} body={body},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1296,Console.WriteLine,SI,SI,CallMagentoAuthorizationCallbackAsync,ERROR CallMagentoCallback [{attempt}/3] entityId={entityId} {ex.GetType().Name}: {ex.Message} | Inner: {ex.InnerException?.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1355,Console.WriteLine,NO,NO,CallSetCAccountCallbackAsync,[CallSetCAccountCallback] Éxito incrementId={incrementId} BP={bp},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1356,Logger.SAP,NO,NO,CallSetCAccountCallbackAsync,[SAP WEBHOOK DMZ]  + Exito incrementId={incrementId} BP={bp},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1365,Console.WriteLine,SI,SI,CallSetCAccountCallbackAsync,ERROR CallSetCAccountCallback [{attempt}/3] {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1366,Logger.SAP,SI,SI,CallSetCAccountCallbackAsync,[SAP WEBHOOK DMZ ERROR]  + [{attempt}/3] {ex.Message},"CONSERVAR (excepcion, se escribe en disco)",
Methods\Order\OrderMethods.cs,1384,Console.WriteLine,NO,NO,LogOrderCreatedInSap,[LogOrderCreatedInSap] Orden {order.incrementId} creada en SAP,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1385,Console.WriteLine,NO,NO,LogOrderCreatedInSap,  - PurchNoC: {sapResponse?.PurchNoC},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1386,Console.WriteLine,NO,NO,LogOrderCreatedInSap,  - Cliente (Zctefinal): {sapResponse?.Zctefinal},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1387,Console.WriteLine,NO,NO,LogOrderCreatedInSap,  - Condición: {sapResponse?.Pmnttrms},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1391,Console.WriteLine,SI,SI,LogOrderCreatedInSap,[LogOrderCreatedInSap] Advertencia: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1416,Console.WriteLine,NO,NO,GenerarMonederoSAPAsync,"[GenerarMonederoSAP] PENDIENTE: Activar monedero en SAP para pedido {incrementId}, Cliente {cuentaCliente}",QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1421,Console.WriteLine,SI,SI,GenerarMonederoSAPAsync,Error GenerarMonederoSAP: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1435,Console.WriteLine,NO,NO,DatosEntregaInsertAsync,[DatosEntregaInsert] Iniciando vinculación OData de dirección para cliente BP: {cuentaCliente},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1445,Console.WriteLine,NO,NO,DatosEntregaInsertAsync,[DatosEntregaInsert] Consultando direcciones existentes para BP: {cuentaCliente},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1466,Console.WriteLine,NO,NO,DatosEntregaInsertAsync,[DatosEntregaInsert] Match encontrado. Reutilizando AddressID: {finalAddressId},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1475,Console.WriteLine,SI,SI,DatosEntregaInsertAsync,[DatosEntregaInsert] Advertencia al consultar direcciones previas: {ex.Message},EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1481,Console.WriteLine,NO,NO,DatosEntregaInsertAsync,[DatosEntregaInsert] No se encontraron coincidencias. Creando nueva dirección...,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1525,Console.WriteLine,NO,NO,DatosEntregaInsertAsync,[DatosEntregaInsert] Vinculando AddressID: {finalAddressId} al SalesDocument: {salesDocument},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1538,Console.WriteLine,NO,NO,DatosEntregaInsertAsync,[DatosEntregaInsert] ✓ Dirección asociada exitosamente al documento de ventas.,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1542,Console.WriteLine,NO,NO,DatosEntregaInsertAsync,[DatosEntregaInsert] Advertencia: No se pudo obtener el SalesDocument de la respuesta para enlazar la dirección.,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1547,Console.WriteLine,NO,NO,DatosEntregaInsertAsync,[DatosEntregaInsert] Advertencia: No se pudo determinar ni crear el AddressID.,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1555,Console.WriteLine,SI,SI,DatosEntregaInsertAsync,Error DatosEntregaInsert: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1576,Console.WriteLine,SI,SI,afectar,Error afectar: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1594,Console.WriteLine,NO,NO,RegisterPickupClientInfo,Registro de pickup para {nombre} en sucursal. Email: {correo},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1598,Console.WriteLine,SI,SI,RegisterPickupClientInfo,Error RegisterPickupClientInfo: ,EXCEPCION pero con Console: hoy no llega a ningun sitio en IIS,
Methods\Order\OrderMethods.cs,1630,Console.WriteLine,NO,NO,TestSetOrderAsync,[TestSetOrder] Enviando POST a SAP: {postUrl},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1639,Console.WriteLine,NO,NO,ProcesarDevolucionSAPAsync,[ProcesarDevolucionSAP] Iniciando devolución para la orden {orderRequest.incrementId},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1661,Console.WriteLine,NO,NO,ProcesarDevolucionSAPAsync,[ProcesarDevolucionSAP] Cliente {cuentaCliente} recuperado de SAP.,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1719,Console.WriteLine,NO,NO,ProcesarDevolucionSAPAsync,[ProcesarDevolucionSAP] Enviando POST ZDME a SAP: {postUrl},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1720,Logger.SAP,NO,NO,ProcesarDevolucionSAPAsync,[SAP RMA REQUEST] ,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1725,Logger.SAP,NO,NO,ProcesarDevolucionSAPAsync,[SAP RMA RESPONSE] ,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1729,Logger.SAP,NO,NO,ProcesarDevolucionSAPAsync,[SAP RMA ERROR]  + StatusCode: {response.StatusCode}. Content: {responseContent},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1746,Console.WriteLine,NO,NO,ProcesarDevolucionSAPAsync,[ProcesarDevolucionSAP] ✓ Devolución creada exitosamente en SAP. PurchNoC: {sapResponse.PurchNoC},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1776,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Pedido duplicado detectado en SAP: {purchNoC},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1790,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Openpay: Orden {incrementId} guardada en validación. ABORTANDO FLUJO SAP.,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1801,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Openpay Stores: Orden {incrementId} guardada. Continuando flujo SAP.,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1821,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Crédito: Solicitud creada para cuenta {cuentaCredito},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1833,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Iniciando validaciones PRE-SAP para {incrementId},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1854,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Partner resuelto: {partnerNumber},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1860,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Guía guardada en SQLite,QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1866,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Preparando BuildSapOrder para {incrementId},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1890,Console.WriteLine,NO,NO,SetOrderAsync,[SetOrder] Enviando POST a SAP: {postUrl},QUITAR (no es excepcion),
Methods\Order\OrderMethods.cs,1891,Logger.SAP,NO,NO,SetOrderAsync,[SAP ORDER REQUEST] ,QUITAR (no es excepcion),
