Nombre Tabla|Tipo|Campos|Descripcion|Resultado
#categFinal|TEMPORAL (CREATE TABLE)|FamIntelisis VARCHAR(100); LinIntelisis VARCHAR(100); LinVirtual VARCHAR(100); Categoria VARCHAR(300)|Rutas de categoria Magento procesadas y limpias.|Asigna categorias a articulos.
SDSIPCarrusel|TABLA PERMANENTE|Articulo; IdCategoria; VKORG|Asocia un articulo a carruseles para MAVI.|Aparece en carruseles de MAVI.
SCSIPCategorias|TABLA PERMANENTE|IdSipCategoria; Categoria|Nombres de las categorias de los carruseles.|Se concatena en la ruta de categorias.
PropreListaDFinal|TABLA PERMANENTE|Articulo; Lista; Sucursal; Precio|Precios finales desde Intelisis (Lista 0 y 90).|Fuente principal de precios base.
#precioart|TEMPORAL (SELECT INTO)|articulo; precio_lista; precio_venta; porcentaje_dscto; precio_dif|Calcula precio final de venta para MAVI.|Precios finales al CSV.
#TempTop10|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(20); Costo MONEY; Venta MONEY; Posicion INT; Inventario MONEY|Calcula un Top 10 de articulos basado en Costo, Venta e Inventario.|Base numerica para Upsells.
#ArticulosUpsell|TEMPORAL (SELECT INTO)|ArticuloBase; Upsell|Relaciona un articulo con productos mas caros de la misma linea.|String final para upsell_skus.
eComerceMarketing|TABLA PERMANENTE|IdMarketing; Articulo|Tabla puente para marketing local.|Gestiona relaciones cruzadas.
PrecioVisible (Bandera)|UPDATE A #temp_eComerceExportaArt|mavi_visible_prices|En MAVI existe una regla exclusiva que marca articulos donde PrecioVisible es False.|Se les oculta el precio al exportar a MAVI.
#posicionamiento|TEMPORAL (SELECT INTO)|articulo; posicion|Determina el ordenamiento de los productos.|Posicion en los grids de MAVI.
eComerceExportaArt|TABLA PERMANENTE|Campos Magento + StatusIntelisis|Destino final en SQL Server.|Aqui termina el SP de MAVI. MAVI NO arma configurables y NO calcula plazos crediticios en la capa C# superior.
