Controlador,Endpoint,Verbo,DataOrigin,Destino,MigrationStatus,TablasSIGMAVI,TotalTablasODS,EsNuestro
RecommenderController,recommender/setRecommenderList,POST,INTELISIS,INTELISIS,Not Migrated,,3,Mixto
RecommenderController,recommender/getRecommender,POST,INTELISIS,INTELISIS,Not Migrated,,1,Mixto
RecommenderController,recommender/setCodes,POST,INTELISIS,INTELISIS,Not Migrated,,3,Mixto
StatusController,status/getStatus,POST,INTELISIS,INTELISIS,Planed Dev 1,,0,Mixto
WalletCustomerController,customer/wallet/getCuentaC/{ordenCompra},GET,INTELISIS,INTELISIS,Not Migrated,,0,Mixto
WholesaleCustomerController,company/negotiable-quote/create,POST,INTELISIS,INTELISIS,Not Migrated,,3,Mixto
CustomersController (LAN-only),customer/getCuenta,POST,MAGENTO (rest/V1/mavi-cuenta/getCuenta),MAGENTO,Planed Dev 1,,0,Si
CustomersController (LAN-only),customer/setCuenta,POST,MAGENTO (rest/V1/mavi-cuenta/setCuenta),MAGENTO,Planed Dev 1,,0,Si
CreditController (LAN-only),credit/SaveCredilanaInfo,POST,INTELISIS (CredyPrestamoMethods),INTELISIS,Out of scope,,0,No
OrdersController (LAN-only),order/createStorepickupCode/{idEcommerce}/{idOrder},POST,INTELISIS (CodigoRecogerSucursal / TrWDM0285_CteRecoge),INTELISIS,Out of scope,,0,No
OrdersController (LAN-only),order/generateNewStorepickupCode/{idEcommerce},GET,INTELISIS (CodigoRecogerSucursal),INTELISIS,Out of scope,,0,No
OrdersController (LAN-only),order/getOrderId/{idEcommerce},POST,INTELISIS (OrderMethods) + outbound Curl,INTELISIS,Out of scope,,0,No
OrdersController (LAN-only),order/getOrderInfoAndSet/{incrementId},GET,MAGENTO,MAGENTO,Out of scope,,0,No
OrdersController (LAN-only),order/checkOpenpay,POST,SQLITE / INTELISIS (OpenpayMethods),SQLITE,Planed Dev 2,,0,Mixto
ProductsController (LAN-only),product/updateProduct,POST,INTELISIS,INTELISIS,Planed Dev 2,,0,Mixto
ProductsController (LAN-only),product/updateProductJsonOnly,POST,INTELISIS,INTELISIS,Planed Dev 2,,0,Mixto
ProductsController (LAN-only),product/updatePrice,POST,INTELISIS,INTELISIS,Planed Dev 2,,0,Mixto
ProductsController (LAN-only),product/updateConfigurableProduct,POST,INTELISIS,INTELISIS,Planed Dev 2,,0,Mixto
ProductsController (LAN-only),product/updateStockMavi,POST,INTELISIS,INTELISIS,Planed Dev 2,,0,Mixto
ProductsController (LAN-only),product/updateStock,POST,INTELISIS,INTELISIS,Planed Dev 2,,0,Mixto
ProductsController (LAN-only),product/getStockByStore,POST,INTELISIS,INTELISIS,Out of scope,,0,No
ProductsController (LAN-only),product/existenciasAlmacenArt,POST,INTELISIS,INTELISIS,Planed Dev 2,,0,Mixto
ProductsController (LAN-only),product/obtenerImagen,POST,INTELISIS,INTELISIS,Out of scope,,0,No
