ID,Ola,Controlador,Endpoint,MetodoOrigen,DestinoActual,DestinoNuevo,DiasDev,FechaInicio,FechaFin,Estado,Bloqueo/Nota
E-17,9 Mixtos SAP,CustomerServiceController,customerService/obtenerTipoGarantia,CustomerServiceMethods.obtenerTipoGarantia:37,Intelisis VTASCProveedorActivoGarantia,SIGMAVI tabla nueva (PCP),1.5,2026-09-07,2026-09-08,BLOQUEADO,BLOQUEADO - estructura Miguel Marin
M-11,12 Mixtos A,CreditController,credit/validateSms,CreditMethods.ProductosCredito_Clave:50,Android + Intelisis (linked server),Por definir,3.0,2026-09-15,2026-09-18,Con nota,SP cruza a Cte/CteTel
M-12,12 Mixtos A,CreditController,credit/CreditoWeb_SaveData,CredyPrestamoMethods.CreditoWeb_SaveData:29,Android + Intelisis (linked server),Por definir,3.0,2026-09-21,2026-09-23,Con nota,SP_CREDITO_WEB_DATOS
M-14,12 Mixtos A,CreditController,credit/CreditoWeb_SaveFirstData,CreditMethods.CreditoWeb_SaveFirstData:507,Android + Intelisis (linked server),Por definir,3.0,2026-09-24,2026-09-28,Con nota,SpCREDISolicitudWebPrimerGuardado
M-15,12 Mixtos A,CustomerServiceController,customerService/bitacoraAtencionClientes,CustomerServiceMethods.bitacoraAtencionClientes:409,Android + Intelisis (linked server),Por definir,2.0,2026-09-29,2026-09-30,Con nota,SP_ACTES_REGISTRO
M-01,10 Mixtos B,CreditController,credit/CreditoWeb_FormDatos,CreditMethods.CreditoWeb_FormDatos:677,SQLite + Intelisis,Por definir,5.0,2026-10-01,2026-10-07,Con nota,SP_CREDITO_WEB_VALORES_FORM 83 objetos
M-02,10 Mixtos B,CreditController,credit/CreditoWeb_Informacion,CreditMethods.CreditoWeb_Informacion:1191,SQLite + Intelisis,Por definir,5.0,2026-10-08,2026-10-14,Con nota,SPCREDICredilana 31 objetos
M-03,10 Mixtos B,CreditController,credit/SaveCredilanaInfo,CredyPrestamoMethods.LoadCredilanaInfo:675,SQLite + Intelisis,Por definir,3.0,2026-10-15,2026-10-19,Con nota,FnVTASListaCredilanas alimentador
M-06,11 Mixtos C,CreditController,credit/getSms,CreditMethods.ProductosCredito_Nip:21,Android + Intelisis,Por definir,2.0,2026-10-20,2026-10-21,Con nota,VTASCodigoSMSEcommerce
M-13,12 Mixtos A,CreditController,credit/CreditoWeb_SaveData_Articulos,CreditMethods.CreditoWeb_SaveData_Articulos:467,Android + Intelisis,Por definir,2.0,2026-10-22,2026-10-23,Con nota,cte_prospecto
M-07,11 Mixtos C,CreditController,credit/CreditoWeb_Seguro,CredyPrestamoMethods.CreditoWeb_Seguro:228,Intelisis + Android + API Liberador,Por definir,3.0,2026-10-26,2026-10-28,Con nota,SpCREDICredilanaSeguroDeVida
➡️,DEV2,CreditController,credit/GetPhoneValidatedClientSecretName,CreditMethods.GetPhoneValidatedClientSecretName:1784,Intelisis Cte/CteTel,SAP partner/client,2.0,2026-10-29,2026-10-30,Reasignado,Reasignado a Dev 2 el 12-ago: todos sus destinos son SAP
M-08,11 Mixtos C,CreditController,credit/SaveHaztenTransaction,CreditMethods.SaveHaztenTransaction:2288,SIGMAVI + Android + Intelisis,Por definir,2.0,2026-11-02,2026-11-03,Con nota,RM0855ACoordenadasProspecto
M-04,10 Mixtos B,CreditController,credit/CreditoWeb_Solicitud,CreditMethods.CreditoWeb_Solicitud:1290,Intelisis SPCREDICredilana,Por definir,2.0,,,Con nota,Mismo SP que M-02; se resuelven juntas
M-09,11 Mixtos C,OrdersController,order/ManagePaynetOrders,OrderMethods.ManagePaynetOrders:43,Intelisis spAfectar,Por definir,2.0,,,Con nota,spAfectar declarado muerto
M-10,11 Mixtos C,OrdersController,order/insertPaymentData,OrderMethods.InsertPaymentData:179,Intelisis CXCCMensajeWebHookOpenPay,Por definir,2.0,,,Con nota,Webhook de OpenPay
M-05,10 Mixtos B,CreditController,credit/CreditoWeb_SolicitudPrimerGuardado,CreditMethods.CreditoWeb_SolicitudPrimerGuardado:1343,Intelisis,Por definir,2.0,,,Con nota,Hermano de M-14
